Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-29 14:31:00,295.62527799606323,10,0,-47.769999999999946,0,14,14,0,0,0,2,0,44,0,0,0,10,0,0,47,0,10,137,29,25,134,0,0,0,9,0,0,57,0,141,32,143,40,56,21
2024-09-29 14:31:00,296.59246802330017,10,0,-44.889999999999915,0,16,16,0,0,0,3,0,37,0,0,0,10,0,0,43,0,10,55,34,36,56,0,0,1,8,0,0,78,0,65,46,60,37,75,25
2024-09-29 14:31:00,298.1726870536804,10,0,-52.520000000000614,0,30,30,0,0,0,1,0,31,0,0,0,10,0,0,56,0,10,179,53,45,179,0,0,2,7,0,0,148,0,182,59,191,63,146,39
2024-09-29 14:31:00,299.297434091568,10,0,-46.499999999999964,0,19,19,0,0,0,4,0,41,0,0,0,10,0,0,49,0,10,29,96,97,30,0,0,3,6,0,0,100,0,38,101,42,105,99,25
2024-09-29 14:31:00,300.1551249027252,10,1,-39.820000000000064,0,16,16,0,0,1,4,0,34,0,0,0,10,0,0,32,0,10,18,56,57,19,0,0,0,8,0,0,70,0,28,61,26,58,68,17
2024-09-29 14:31:00,301.413369178772,10,0,-49.260000000000225,0,20,20,0,0,0,3,0,42,0,0,0,10,0,0,48,0,10,77,82,83,72,0,0,0,9,0,0,116,0,76,87,90,94,115,26
2024-09-29 14:31:00,302.4799020290375,10,0,-44.90999999999997,0,17,17,0,0,0,3,0,40,0,0,0,10,0,0,37,0,10,30,115,117,31,0,0,1,9,0,0,62,0,33,122,37,124,61,22
2024-09-29 14:31:00,303.5153970718384,10,0,-48.13000000000012,0,24,24,0,0,0,1,0,36,0,0,0,10,0,0,53,0,10,14,87,85,19,0,0,0,8,0,0,85,0,28,96,28,94,82,29
2024-09-29 14:31:00,304.5794560909271,10,0,-43.179999999999964,0,15,15,0,0,0,1,0,41,0,0,0,10,0,0,37,0,10,37,83,87,37,0,0,1,8,0,0,52,0,44,94,44,86,50,20
2024-09-29 14:31:00,305.56199407577515,10,0,-44.77999999999996,0,18,18,0,0,0,5,0,44,0,0,0,10,0,0,39,0,10,76,35,33,74,0,0,0,9,0,0,77,0,81,41,78,40,76,26
2024-09-29 14:31:00,306.62273716926575,10,0,-43.97999999999995,0,24,24,0,0,1,2,0,40,0,0,0,10,0,0,46,0,10,22,81,82,27,0,0,2,6,0,0,99,0,35,90,27,88,96,35
2024-09-29 14:31:00,307.7492458820343,10,0,-50.35000000000014,0,18,18,0,0,0,6,0,46,0,0,0,10,0,0,53,0,10,25,97,96,23,0,0,0,10,0,0,84,0,27,112,30,110,82,25
2024-09-29 14:31:00,308.5281572341919,10,0,-41.83000000000006,0,18,18,0,0,0,3,0,39,0,0,0,10,0,0,33,0,10,36,37,33,35,0,0,0,9,0,0,58,0,41,37,40,39,58,25
2024-09-29 14:31:00,309.2913122177124,10,0,-38.58000000000014,0,18,18,0,0,1,5,0,42,0,0,0,10,0,0,30,0,10,52,10,15,55,0,0,2,7,0,0,65,0,58,22,57,14,61,23
2024-09-29 14:31:00,310.06704092025757,10,0,-37.60000000000002,0,20,20,0,0,0,3,0,47,0,0,0,10,0,0,25,0,10,36,9,15,40,0,0,1,7,0,0,70,0,40,21,40,13,67,24
2024-09-29 14:31:00,311.1308898925781,10,0,-39.550000000000004,0,20,20,0,0,0,4,0,43,0,0,0,10,0,0,33,0,10,12,18,26,13,0,0,1,6,0,0,113,0,15,31,19,23,110,27
2024-09-29 14:31:00,312.1758372783661,10,0,-45.84000000000001,0,33,33,0,0,1,5,0,44,0,0,0,10,0,0,48,0,10,50,27,23,60,0,0,0,8,0,0,109,0,63,30,59,39,108,41
2024-09-29 14:31:00,313.0000581741333,10,0,-46.52999999999993,0,17,17,0,0,0,5,0,41,0,0,0,10,0,0,48,0,10,56,24,27,54,0,0,0,9,0,0,59,0,58,34,66,32,59,26
2024-09-29 14:31:00,314.4758219718933,10,0,-46.56999999999979,0,14,14,0,0,0,2,0,34,0,0,0,10,0,0,41,0,10,150,83,82,148,0,0,1,8,0,0,53,0,158,89,157,90,50,17
2024-09-29 14:31:00,315.6451470851898,10,0,-44.280000000000044,0,19,19,0,0,2,2,0,47,0,0,0,10,0,0,47,0,10,86,41,39,88,0,0,0,7,0,0,113,0,92,45,100,50,113,23
2024-09-29 14:31:00,316.7171530723572,10,0,-44.09000000000007,0,20,20,0,0,0,5,0,52,0,0,0,10,0,0,37,0,10,104,16,21,114,0,0,1,8,0,0,87,0,120,26,110,23,84,26
2024-09-29 14:31:00,317.3791868686676,10,0,-40.080000000000105,0,14,14,0,0,0,6,0,38,0,0,0,10,0,0,33,0,10,21,22,24,23,0,0,0,8,0,0,50,0,28,28,26,26,48,21
2024-09-29 14:31:00,318.2915210723877,10,0,-41.51999999999997,0,20,20,0,0,0,2,0,30,0,0,0,10,0,0,37,0,10,29,28,28,41,0,0,0,7,0,0,88,0,51,33,33,34,85,25
2024-09-29 14:31:00,319.5015501976013,10,0,-48.25999999999983,0,27,27,0,0,0,5,0,55,0,0,0,10,0,0,52,0,10,17,77,76,28,0,0,0,8,0,0,107,0,42,86,22,87,105,32
2024-09-29 14:31:00,320.77358889579773,10,0,-52.720000000000056,0,31,31,0,0,0,4,0,49,0,0,0,10,0,0,69,0,10,37,59,64,42,0,0,0,7,0,0,119,0,54,80,47,74,117,39
